index,date,open,high,low,close,volume
0,"2023/06/13, 14:22:00",1111.27,1111.83,1111.15,1111.24,TODO
1,"2023/06/13, 14:23:00",1111.51,1112.57,1111.38,1112.57,TODO
2,"2023/06/13, 14:24:00",1112.64,1114.17,1112.28,1114.14,TODO
3,"2023/06/13, 14:25:00",1114.02,1115.37,1114.02,1114.84,TODO
4,"2023/06/13, 14:26:00",1114.95,1115.39,1114.54,1115.39,TODO
5,"2023/06/13, 14:27:00",1114.96,1115.32,1114.45,1115.09,TODO
6,"2023/06/13, 14:28:00",1114.86,1115.19,1113.99,1113.99,TODO
7,"2023/06/13, 14:29:00",1114.23,1114.39,1113.81,1113.81,TODO
8,"2023/06/13, 14:30:00",1113.54,1113.54,1113.54,1113.54,TODO
9,"2023/06/13, 14:45:00",1115.39,1115.39,1115.39,1115.39,TODO
